quadrant,n_cells,hotspot_n,hotspot_share_pct
north_east,320621,49117,15.319333418584561
north_west,207337,15217,7.339259273549825
south_east,207337,2472,1.1922618731823071
south_west,320621,38820,12.107753391075445
