metric,value
Primary Columbia analysis file,data_processed\city_features\12_columbia_sc_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,1055916
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Columbia study area
Geometry / CRS,Cell polygons stored in EPSG:32617; centroids stored as WGS84 lon/lat
Projected spatial extent,"[467460, 3740010, 518640, 3789960]"
Study-area buffer,"2,000 m around the Census urban area"
