Metric,Mean delta,Median delta,SD delta,Min delta,Max delta,RF wins,Logistic wins,Ties
City AP,-0.0023,-0.0136,0.0602,-0.0743,0.1945,9,21,0
City R@10,0.0106,-0.015,0.0901,-0.07,0.342,9,21,0
