Model checkpoint,Model family,Tuning preset,Rows per city,Outer folds,Inner CV splits,Scoring,Parameter candidates,Estimated inner fits,Pooled PR AUC,Mean city PR AUC,Recall at top 10%,Grid summary,Selected parameters,Run directory
Logistic SAGA 5k,logistic_saga,full,5000,"0, 1, 2, 3, 4",4,average_precision,20,400,0.1421,0.1803,0.1647,C: 0.01/0.1/1.0/10.0; l1_ratio: 0.0 | C: 0.01/0.1/1.0/10.0; l1_ratio: 1.0 | C: 0.01/0.1/1.0/10.0; l1_ratio: 0.2/0.5/0.8,"Fold-specific winners: C=0.01, l1_ratio=1.0 | C=0.01, l1_ratio=0.0 | C=10.0, l1_ratio=0.0 | C=1.0, l1_ratio=1.0 | C=1.0, l1_ratio=0.2",C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\logistic_saga\full_allfolds_s5000_sampled-full-allfolds_2026-04-07_235825
Random forest 5k,random_forest,frontier,5000,"0, 1, 2, 3, 4",3,average_precision,8,120,0.1486,0.1781,0.1961,n_estimators: 200/300; max_depth: 10/20; max_features: sqrt; min_samples_leaf: 1/5,"Fold-specific winners: max_depth=10, max_features=sqrt, min_samples_leaf=5, n_estimators=200 | max_depth=10, max_features=sqrt, min_samples_leaf=5, n_estimators=300",C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430
