stage,n_rows,share_of_unfiltered_pct
unfiltered_input_rows,5236892,100.0
dropped_open_water_rows,667968,12.755046313729594
dropped_lt3_ecostress_pass_rows,754,0.014397852772216804
final_filtered_rows,3635068,69.41269745490264
