index,lst_median_may_aug,impervious_pct,ndvi_median_may_aug,dist_to_water_m,elevation_m,n_valid_ecostress_passes
lst_median_may_aug,1.0,0.234180551245047,-0.4019790601390402,0.09761716030886707,-0.23880245836586414,0.4562158222312831
impervious_pct,0.234180551245047,1.0,-0.5853349758729401,0.1720979455774685,-0.07815224379762992,0.21118808422403434
ndvi_median_may_aug,-0.4019790601390402,-0.5853349758729401,1.0,-0.19513913421349305,0.2616805931670789,-0.37729525730450353
dist_to_water_m,0.09761716030886707,0.1720979455774685,-0.19513913421349305,1.0,-0.044993281409992814,0.11561368180978038
elevation_m,-0.23880245836586414,-0.07815224379762992,0.2616805931670789,-0.044993281409992814,1.0,-0.4323592486111287
n_valid_ecostress_passes,0.4562158222312831,0.21118808422403434,-0.37729525730450353,0.11561368180978038,-0.4323592486111287,1.0
