city_id,city_name,climate_group,outer_fold,model_name,source_reference_run_dir,training_sample_rows_per_city,prediction_scope,row_count,valid_cell_count,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,spearman_surface_corr,top_region_overlap_fraction,observed_mass_captured,centroid_distance_m,median_nearest_region_distance_m,observed_top_cell_count,predicted_top_cell_count,overlap_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status
18,Atlanta,hot_humid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,7081699,7081699,broad,600.0,gaussian,300.0,0.1,0.24239436940419726,0.11174429739870327,0.19686971547229384,34452.13708558375,1590.0,708170,708170,142360,30.0,EPSG:32616,ok
24,San Jose,mild_cool,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,817627,817627,fine,150.0,gaussian,75.0,0.1,0.08642023287651276,0.0419850003504591,0.07853562223660812,13050.479031712532,496.58836071740546,81763,81763,6589,30.0,EPSG:32610,ok
24,San Jose,mild_cool,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,817627,817627,medium,300.0,gaussian,150.0,0.1,0.07502641883571101,0.030623885243938564,0.0556560819165107,14462.484141763256,1001.2991560967182,81763,81763,4859,30.0,EPSG:32610,ok
24,San Jose,mild_cool,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,817627,817627,broad,600.0,gaussian,300.0,0.1,0.02687413032873353,0.011098676196894844,0.02100744445476667,16370.96201496108,1818.158408940211,81763,81763,1795,30.0,EPSG:32610,ok
6,Denver,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1859393,1859393,fine,150.0,gaussian,75.0,0.1,0.23364360074964663,0.11756220699603318,0.2053155423275933,8659.378671904838,305.9411708155671,185940,185940,39120,30.0,EPSG:32613,ok
6,Denver,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1859393,1859393,medium,300.0,gaussian,150.0,0.1,0.25400069526668273,0.11681712525001352,0.19964446682649264,9060.942074014196,536.6563145999495,185940,185940,38898,30.0,EPSG:32613,ok
6,Denver,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1859393,1859393,broad,600.0,gaussian,300.0,0.1,0.2781236719939593,0.11755549011004862,0.19208418892983192,9920.21811449282,844.8076704197234,185940,185940,39118,30.0,EPSG:32613,ok
7,Salt Lake City,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,863557,863557,fine,150.0,gaussian,75.0,0.1,0.17761778830802205,0.0838803609754873,0.1536921792572606,3017.0307284220607,391.1521443121589,86356,86356,13366,30.0,EPSG:32612,ok
7,Salt Lake City,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,863557,863557,medium,300.0,gaussian,150.0,0.1,0.2098935901402936,0.09009890366517923,0.16321248060363422,2858.8570202969086,523.9274758971894,86356,86356,14275,30.0,EPSG:32612,ok
7,Salt Lake City,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,863557,863557,broad,600.0,gaussian,300.0,0.1,0.23696826219143896,0.09448549448042484,0.17037266824428543,2425.217330064019,684.1052550594828,86356,86356,14910,30.0,EPSG:32612,ok
