city_id,city_name,climate_group,outer_fold,model_name,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,row_count,valid_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status,prediction_path,figure_path
22,Portland,mild_cool,1,random_forest,medium,300.0,gaussian,150.0,0.1,1496116,1496116,30.0,EPSG:32610,ok,outputs\modeling\supplemental\spatial_alignment_all_cities\full_city_predictions\portland_city22_random_forest_full_city_predictions.parquet,figures\modeling\supplemental\spatial_alignment_all_cities\portland_city22_random_forest_medium_surface_alignment.png
3,Las Vegas,hot_arid,3,random_forest,medium,300.0,gaussian,150.0,0.1,1718669,1718669,30.0,EPSG:32611,ok,outputs\modeling\supplemental\spatial_alignment_all_cities\full_city_predictions\las_vegas_city03_random_forest_full_city_predictions.parquet,figures\modeling\supplemental\spatial_alignment_all_cities\las_vegas_city03_random_forest_medium_surface_alignment.png
23,San Francisco,mild_cool,3,random_forest,medium,300.0,gaussian,150.0,0.1,1466276,1466276,30.0,EPSG:32610,ok,outputs\modeling\supplemental\spatial_alignment_all_cities\full_city_predictions\san_francisco_city23_random_forest_full_city_predictions.parquet,figures\modeling\supplemental\spatial_alignment_all_cities\san_francisco_city23_random_forest_medium_surface_alignment.png
20,Nashville,hot_humid,4,random_forest,medium,300.0,gaussian,150.0,0.1,1680248,1680248,30.0,EPSG:32616,ok,outputs\modeling\supplemental\spatial_alignment_all_cities\full_city_predictions\nashville_city20_random_forest_full_city_predictions.parquet,figures\modeling\supplemental\spatial_alignment_all_cities\nashville_city20_random_forest_medium_surface_alignment.png
