variable,n_non_missing,missing_pct,mean,median,std,min,p10,p90,max,skew
impervious_pct,4735561,0.0,30.505744154826374,27.792098999023438,27.605225513516633,0.0,0.0,67.02600860595703,99.73307800292969,0.29340487731924475
ndvi_median_may_aug,4735537,0.0005068037345568044,0.20800308409158447,0.19603502197265626,0.06597703250905435,0.02544421844482422,0.14464863525390625,0.2876998583984376,0.736805322265625,1.7639054921476736
lst_median_may_aug,4735561,0.0,315.0936558869347,315.2575988769531,2.4857689744183284,302.4947204589844,312.0199890136719,317.7652282714844,330.3529968261719,-0.2287073795726381
dist_to_water_m,4735561,0.0,550.6757499089235,390.0,555.6290797127403,0.0,60.0,1236.931640625,4302.0458984375,2.0453974762816602
elevation_m,4735561,0.0,450.06846082700525,412.0636291503906,125.65639840980286,283.368408203125,341.41802978515625,610.2291870117188,1381.6622314453125,1.9733952811026771
n_valid_ecostress_passes,4735561,0.0,28.426964619397786,28.0,3.362678500630708,12.0,24.0,33.0,39.0,-0.320109745712859
