quadrant,n_cells,hotspot_n,hotspot_share_pct
north_east,705287,48470,6.872379612838461
north_west,1662493,162151,9.753484676326456
south_east,1662493,159630,9.601844940098996
south_west,705288,103309,14.64777509329522
