model_name,outer_fold,inner_cv_splits,best_inner_cv_average_precision,best_params_json
logistic_saga,0,4,0.15108311641345595,"{""model__C"": 0.01, ""model__l1_ratio"": 0.5}"
logistic_saga,1,4,0.15108593184687003,"{""model__C"": 0.01, ""model__l1_ratio"": 0.0}"
logistic_saga,2,4,0.15289473739818182,"{""model__C"": 10.0, ""model__l1_ratio"": 0.0}"
logistic_saga,3,4,0.1541361284411329,"{""model__C"": 10.0, ""model__l1_ratio"": 0.8}"
logistic_saga,4,4,0.15670795966799156,"{""model__C"": 1.0, ""model__l1_ratio"": 0.2}"
