metric,value
Primary Detroit analysis file,data_processed\city_features\29_detroit_mi_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,3702849
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Detroit study area
Geometry / CRS,Cell polygons stored in EPSG:32617; centroids stored as WGS84 lon/lat
Projected spatial extent,"[277050, 4656690, 375690, 4751310]"
Study-area buffer,"2,000 m around the Census urban area"
