metric,value
Primary San Diego analysis file,data_processed\city_features\26_san_diego_ca_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,1948679
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered San Diego study area
Geometry / CRS,Cell polygons stored in EPSG:32611; centroids stored as WGS84 lon/lat
Projected spatial extent,"[460350, 3600210, 516900, 3692520]"
Study-area buffer,"2,000 m around the Census urban area"
