metric,value
Primary Minneapolis analysis file,data_processed\city_features\28_minneapolis_mn_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,2946162
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Minneapolis study area
Geometry / CRS,Cell polygons stored in EPSG:32615; centroids stored as WGS84 lon/lat
Projected spatial extent,"[444180, 4937970, 510870, 5023650]"
Study-area buffer,"2,000 m around the Census urban area"
