quadrant,n_cells,hotspot_n,hotspot_share_pct
north_east,695292,26205,3.7689201083861166
north_west,777789,220816,28.390218941126705
south_east,777789,15026,1.9318864113532077
south_west,695292,32572,4.684650477784873
