model_name,outer_fold,city_id,city_name,climate_group,row_count,positive_count,prevalence,pr_auc,recall_at_top_10pct,climate_group_pr_auc_median,pr_auc_distance_from_climate_median,source_run_dir
random_forest,1,6,Denver,hot_arid,5000,500,0.1,0.1508082663439688,0.2,0.14588872432413186,0.004919542019836937,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430
random_forest,0,18,Atlanta,hot_humid,5000,500,0.1,0.1817360129064311,0.238,0.17990300080302454,0.001833012103406556,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430
random_forest,4,29,Detroit,mild_cool,5000,500,0.1,0.1667845786540674,0.19,0.15976503647726586,0.007019542176801535,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430
