metric,value
Primary Seattle analysis file,data_processed\city_features\21_seattle_wa_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,2831875
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Seattle study area
Geometry / CRS,Cell polygons stored in EPSG:32610; centroids stored as WGS84 lon/lat
Projected spatial extent,"[520290, 5206230, 579420, 5320530]"
Study-area buffer,"2,000 m around the Census urban area"
