metric,value
Primary Portland analysis file,data_processed\city_features\22_portland_or_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,1496116
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Portland study area
Geometry / CRS,Cell polygons stored in EPSG:32610; centroids stored as WGS84 lon/lat
Projected spatial extent,"[488010, 5001900, 554130, 5072250]"
Study-area buffer,"2,000 m around the Census urban area"
