metric,value
Primary Denver analysis file,data_processed\city_features\06_denver_co_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,1859393
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Denver study area
Geometry / CRS,Cell polygons stored in EPSG:32613; centroids stored as WGS84 lon/lat
Projected spatial extent,"[478770, 4369890, 529140, 4431450]"
Study-area buffer,"2,000 m around the Census urban area"
