quadrant,n_cells,hotspot_n,hotspot_share_pct
north_east,348906,24813,7.1116575811250025
north_west,599592,41012,6.839984522808844
south_east,599592,75150,12.53352279550094
south_west,348906,48728,13.96593925011321
