variable,n_non_missing,missing_pct,mean,median,std,min,p10,p90,max,skew
impervious_pct,475828,0.0,39.47050700389044,40.18636703491211,27.749325648572576,0.0,0.0,75.71205139160155,100.0,0.03810068246776858
ndvi_median_may_aug,475828,0.0,0.30929238353920424,0.2917623291015625,0.09843054854340584,-0.0844720947265625,0.2001300280761719,0.4520675927734375,0.7321255859375,0.7090200792954062
lst_median_may_aug,475828,0.0,292.93358327410124,293.1018753051758,1.5727776446425028,284.9560852050781,290.8604034423828,294.79480895996096,297.4490203857422,-0.7145803515169578
dist_to_water_m,475828,0.0,10103.441667375868,9140.9951171875,6683.641088034011,0.0,810.5553588867188,20678.70703125,27569.1015625,0.524527372887935
elevation_m,475828,0.0,1445.587828450793,1419.0145263671875,94.93272704596818,1333.2762451171875,1346.3033447265625,1569.130712890625,1898.4664306640625,1.0605371365519827
n_valid_ecostress_passes,475828,0.0,83.38602183982448,84.0,4.241599205855542,68.0,77.0,88.0,95.0,-0.6119198716654192
