metric,value
Primary Reno analysis file,data_processed\city_features\10_reno_nv_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,475828
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Reno study area
Geometry / CRS,Cell polygons stored in EPSG:32611; centroids stored as WGS84 lon/lat
Projected spatial extent,"[241230, 4358340, 272580, 4397520]"
Study-area buffer,"2,000 m around the Census urban area"
