metric,value
Primary Bakersfield analysis file,data_processed\city_features\09_bakersfield_ca_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,382964
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Bakersfield study area
Geometry / CRS,Cell polygons stored in EPSG:32611; centroids stored as WGS84 lon/lat
Projected spatial extent,"[299430, 3903840, 330900, 3925920]"
Study-area buffer,"2,000 m around the Census urban area"
