city,class_1_precision_logistic,class_1_precision_rf,class_1_recall_logistic,class_1_recall_rf,class_1_f1_logistic,class_1_f1_rf,accuracy_logistic,accuracy_rf,macro_f1_logistic,macro_f1_rf,weighted_f1_logistic,weighted_f1_rf,partner_total_support,partner_class_1_support,partner_positive_prevalence,class_1_precision_delta_rf_minus_logistic,class_1_recall_delta_rf_minus_logistic,class_1_f1_delta_rf_minus_logistic,accuracy_delta_rf_minus_logistic,macro_f1_delta_rf_minus_logistic,weighted_f1_delta_rf_minus_logistic,city_id,city_name,climate_group,pr_auc_logistic,pr_auc_rf,pr_auc_delta_rf_minus_logistic,recall_at_top_10pct_logistic,recall_at_top_10pct_rf,recall_delta_rf_minus_logistic
San Francisco,0.59,0.71,0.07,0.31,0.12,0.43,0.9,0.92,0.53,0.69,0.87,0.9,439883,43988,0.09999931800046831,0.12,0.24,0.31,0.020000000000000018,0.15999999999999992,0.030000000000000027,23,San Francisco,mild_cool,0.1227436519434779,0.1080177651230145,-0.0147258868204634,0.118,0.094,-0.0239999999999999
Chicago,0.49,0.75,0.16,0.42,0.24,0.54,0.9,0.93,0.59,0.75,0.88,0.92,2016889,201692,0.10000153702062929,0.26,0.26,0.30000000000000004,0.030000000000000027,0.16000000000000003,0.040000000000000036,27,Chicago,mild_cool,0.2844429110904831,0.2162392568353098,-0.0682036542551732,0.308,0.246,-0.062
Las Vegas,0.7,0.82,0.36,0.65,0.47,0.73,0.92,0.95,0.72,0.85,0.91,0.95,515601,51560,0.09999980605157864,0.12,0.29000000000000004,0.26,0.029999999999999916,0.13,0.039999999999999925,3,Las Vegas,hot_arid,0.0850225697894336,0.2795191791389535,0.1944966093495199,0.048,0.39,0.342
Boston,0.14,0.66,0.0,0.15,0.0,0.24,0.9,0.91,0.47,0.59,0.85,0.88,1444196,144421,0.1000009693975056,0.52,0.15,0.24,0.010000000000000009,0.12,0.030000000000000027,30,Boston,mild_cool,0.2143239716743264,0.1971754233842124,-0.017148548290114,0.244,0.228,-0.0159999999999999
Richmond,0.52,0.7,0.14,0.33,0.22,0.45,0.9,0.92,0.58,0.7,0.87,0.91,444554,44456,0.100001349667307,0.17999999999999994,0.19,0.23,0.020000000000000018,0.12,0.040000000000000036,13,Richmond,hot_humid,0.2690690286642281,0.2599509529657198,-0.0091180756985083,0.334,0.328,-0.006
Columbia,0.45,0.65,0.03,0.18,0.06,0.28,0.9,0.91,0.5,0.62,0.86,0.88,316775,31688,0.10003314655512588,0.2,0.15,0.22000000000000003,0.010000000000000009,0.12,0.020000000000000018,12,Columbia,hot_humid,0.1310333615873844,0.1344425973461623,0.0034092357587778,0.15,0.136,-0.0139999999999999
Tampa,0.39,0.62,0.0,0.14,0.01,0.23,0.9,0.91,0.48,0.59,0.85,0.88,854136,85414,0.10000046830949638,0.22999999999999998,0.14,0.22,0.010000000000000009,0.10999999999999999,0.030000000000000027,15,Tampa,hot_humid,0.2231058830616834,0.2109227972936732,-0.0121830857680102,0.26,0.228,-0.032
Houston,0.0,0.7,0.0,0.12,0.0,0.21,0.9,0.91,0.47,0.58,0.85,0.88,1516399,151640,0.10000006594570426,0.7,0.12,0.21,0.010000000000000009,0.10999999999999999,0.030000000000000027,11,Houston,hot_humid,0.1252516917398908,0.1224488748625343,-0.0028028168773565,0.148,0.126,-0.0219999999999999
Jacksonville,0.62,0.68,0.07,0.17,0.12,0.27,0.9,0.91,0.53,0.61,0.87,0.88,499363,49937,0.1000014017858752,0.06000000000000005,0.1,0.15000000000000002,0.010000000000000009,0.07999999999999996,0.010000000000000009,17,Jacksonville,hot_humid,0.2400377324111945,0.2050168508154777,-0.0350208815957167,0.296,0.258,-0.0379999999999999
Nashville,0.6,0.71,0.31,0.45,0.41,0.55,0.91,0.93,0.68,0.76,0.9,0.92,504075,50408,0.10000099191588553,0.10999999999999999,0.14,0.14000000000000007,0.020000000000000018,0.07999999999999996,0.020000000000000018,20,Nashville,hot_humid,0.4699467101993019,0.439601477459057,-0.0303452327402449,0.476,0.458,-0.0179999999999999
Charlotte,0.0,0.63,0.0,0.07,0.0,0.13,0.9,0.9,0.47,0.54,0.85,0.87,569099,56911,0.100001932879868,0.63,0.07,0.13,0.0,0.07000000000000006,0.020000000000000018,19,Charlotte,hot_humid,0.1491039251426113,0.1463534884042359,-0.0027504367383754,0.172,0.176,0.004
Atlanta,0.48,0.6,0.09,0.18,0.15,0.27,0.9,0.91,0.55,0.61,0.87,0.88,2124510,212451,0.1,0.12,0.09,0.12000000000000002,0.010000000000000009,0.05999999999999994,0.010000000000000009,18,Atlanta,hot_humid,0.2425181909858542,0.1817360129064311,-0.0607821780794231,0.304,0.238,-0.066
Miami,0.0,0.58,0.0,0.07,0.0,0.12,0.9,0.9,0.47,0.54,0.85,0.87,1090521,109053,0.1000008252935982,0.58,0.07,0.12,0.0,0.07000000000000006,0.020000000000000018,16,Miami,hot_humid,0.14881933637123,0.1417766874310615,-0.0070426489401684,0.17,0.158,-0.012
