model,model_label,city_count,class_1_precision_mean,class_1_precision_median,class_1_precision_min,class_1_precision_max,class_1_recall_mean,class_1_recall_median,class_1_recall_min,class_1_recall_max,class_1_f1_mean,class_1_f1_median,class_1_f1_min,class_1_f1_max,macro_f1_mean,macro_f1_median,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_median,accuracy_min,accuracy_max,weighted_f1_mean,weighted_f1_median,weighted_f1_min,weighted_f1_max
logistic,Logistic,30,0.38866666666666666,0.45,0.0,0.84,0.07266666666666667,0.02,0.0,0.36,0.10833333333333334,0.04,0.0,0.47,0.5263333333333333,0.49,0.47,0.72,0.9013333333333331,0.9,0.89,0.92,0.8633333333333333,0.86,0.85,0.91
rf,Random forest,30,0.7310000000000001,0.745,0.58,0.87,0.3433333333333334,0.33999999999999997,0.07,0.77,0.44800000000000006,0.46499999999999997,0.12,0.82,0.7036666666666668,0.71,0.54,0.9,0.9243333333333335,0.925,0.9,0.97,0.9086666666666666,0.91,0.87,0.96
