model,city,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,accuracy,total_support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,model_label,positive_prevalence
rf,Columbia,0.92,0.99,0.95,285087,0.65,0.18,0.28,31688,0.91,316775,0.78,0.58,0.62,0.89,0.91,0.88,Random forest,0.10003314655512588
rf,Denver,0.93,0.99,0.96,502035,0.78,0.35,0.48,55783,0.93,557818,0.86,0.67,0.72,0.92,0.93,0.91,Random forest,0.1000021512392931
rf,Detroit,0.92,0.99,0.95,999768,0.74,0.24,0.36,111087,0.92,1110855,0.83,0.61,0.66,0.9,0.92,0.9,Random forest,0.10000135031124674
rf,El Paso,0.96,0.98,0.97,199403,0.8,0.59,0.68,22156,0.94,221559,0.88,0.79,0.82,0.94,0.94,0.94,Random forest,0.10000045134704526
rf,Fresno,0.94,0.99,0.96,123958,0.8,0.39,0.53,13774,0.93,137732,0.87,0.69,0.74,0.92,0.93,0.92,Random forest,0.10000580838149449
rf,Houston,0.91,0.99,0.95,1364759,0.7,0.12,0.21,151640,0.91,1516399,0.8,0.56,0.58,0.89,0.91,0.88,Random forest,0.10000006594570426
rf,Jacksonville,0.91,0.99,0.95,449426,0.68,0.17,0.27,49937,0.91,499363,0.8,0.58,0.61,0.89,0.91,0.88,Random forest,0.1000014017858752
rf,Las Vegas,0.96,0.98,0.97,464041,0.82,0.65,0.73,51560,0.95,515601,0.89,0.82,0.85,0.95,0.95,0.95,Random forest,0.09999980605157864
rf,Los Angeles,0.95,0.98,0.96,1278737,0.75,0.54,0.63,142082,0.94,1420819,0.85,0.76,0.8,0.93,0.94,0.93,Random forest,0.10000007038194168
rf,Miami,0.91,0.99,0.95,981468,0.58,0.07,0.12,109053,0.9,1090521,0.74,0.53,0.54,0.87,0.9,0.87,Random forest,0.1000008252935982
rf,Minneapolis,0.92,0.99,0.95,795463,0.71,0.21,0.32,88386,0.91,883849,0.81,0.6,0.64,0.9,0.91,0.89,Random forest,0.10000124455647967
rf,Nashville,0.94,0.98,0.96,453667,0.71,0.45,0.55,50408,0.93,504075,0.83,0.72,0.76,0.92,0.93,0.92,Random forest,0.10000099191588553
rf,New Orleans,0.92,0.99,0.95,189017,0.64,0.21,0.31,21002,0.91,210019,0.78,0.6,0.63,0.89,0.91,0.89,Random forest,0.10000047614739618
rf,Phoenix,0.93,0.99,0.96,863847,0.81,0.36,0.5,95985,0.93,959832,0.87,0.68,0.73,0.92,0.93,0.92,Random forest,0.10000187532818243
rf,Portland,0.93,0.99,0.96,403950,0.75,0.32,0.45,44885,0.92,448835,0.84,0.65,0.7,0.91,0.92,0.91,Random forest,0.10000334198536211
rf,Reno,0.97,0.99,0.98,128474,0.87,0.77,0.82,14275,0.97,142749,0.92,0.88,0.9,0.96,0.97,0.96,Random forest,0.10000070053030144
rf,Richmond,0.93,0.98,0.96,400098,0.7,0.33,0.45,44456,0.92,444554,0.82,0.66,0.7,0.91,0.92,0.91,Random forest,0.100001349667307
rf,Salt Lake City,0.93,0.99,0.96,233161,0.79,0.38,0.51,25907,0.93,259068,0.86,0.68,0.74,0.92,0.93,0.92,Random forest,0.10000077199808545
rf,San Diego,0.94,0.99,0.96,526143,0.77,0.41,0.53,58461,0.93,584604,0.86,0.7,0.75,0.92,0.93,0.92,Random forest,0.10000102633577601
rf,San Francisco,0.93,0.99,0.96,395895,0.71,0.31,0.43,43988,0.92,439883,0.82,0.65,0.69,0.91,0.92,0.9,Random forest,0.09999931800046831
rf,San Jose,0.95,0.99,0.97,220760,0.8,0.52,0.63,24529,0.94,245289,0.87,0.75,0.8,0.93,0.94,0.93,Random forest,0.10000040768236651
rf,Seattle,0.92,0.99,0.95,764606,0.73,0.26,0.38,84957,0.92,849563,0.82,0.62,0.67,0.9,0.92,0.9,Random forest,0.10000082395302055
rf,Tampa,0.91,0.99,0.95,768722,0.62,0.14,0.23,85414,0.91,854136,0.76,0.56,0.59,0.88,0.91,0.88,Random forest,0.10000046830949638
rf,Tucson,0.95,0.98,0.96,480575,0.76,0.5,0.61,53397,0.93,533972,0.86,0.74,0.79,0.93,0.93,0.93,Random forest,0.09999962544852539
