city_id,city_name,climate_group,model_name,repeat_count,sample_rows_per_city_cap,effective_city_row_count,within_city_pr_auc_mean,within_city_pr_auc_std,within_city_recall_at_top_10pct_mean,within_city_recall_at_top_10pct_std,within_city_best_inner_cv_average_precision_mean
4,Albuquerque,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
4,Albuquerque,hot_arid,logistic_saga,3,20000,20000,0.15112187987344808,0.004481063364401741,0.11750000000000001,0.013919410907075058,0.15747866723620044
4,Albuquerque,hot_arid,random_forest,3,20000,20000,0.4342829461370128,0.011593944375503146,0.45166666666666666,0.006291528696058975,0.42611545173351134
9,Bakersfield,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
9,Bakersfield,hot_arid,logistic_saga,3,20000,20000,0.35714167243112027,0.02222892852352216,0.3858333333333333,0.005204164998665355,0.3498287502865323
9,Bakersfield,hot_arid,random_forest,3,20000,20000,0.6090037359340408,0.02688542778475069,0.5583333333333332,0.013768926368215249,0.5814621335917958
6,Denver,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
6,Denver,hot_arid,logistic_saga,3,20000,20000,0.28078664795051766,0.01744283265263471,0.32916666666666666,0.026731691553909066,0.2695415158198316
6,Denver,hot_arid,random_forest,3,20000,20000,0.40688183468496314,0.019691659698256387,0.40166666666666667,0.018763883748662828,0.38830765721819277
5,El Paso,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
5,El Paso,hot_arid,logistic_saga,3,20000,20000,0.1971716567606967,0.020598641075526173,0.2558333333333333,0.0300347021515668,0.20577006691267463
5,El Paso,hot_arid,random_forest,3,20000,20000,0.5937313807915784,0.013210028025450338,0.5758333333333333,0.009464847243000453,0.5977646888285397
8,Fresno,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
8,Fresno,hot_arid,logistic_saga,3,20000,20000,0.21337688909705096,0.023102301227542532,0.24,0.03191786333700927,0.21928903819409598
8,Fresno,hot_arid,random_forest,3,20000,20000,0.45041855190801666,0.03010497408978987,0.455,0.025980762113533153,0.4182059583525512
3,Las Vegas,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
3,Las Vegas,hot_arid,logistic_saga,3,20000,20000,0.5439360838129762,0.02509425019559319,0.545,0.012499999999999983,0.5792998894860227
3,Las Vegas,hot_arid,random_forest,3,20000,20000,0.6619474962529099,0.02585771621234858,0.6066666666666666,0.024281337140555796,0.6673426961938335
1,Phoenix,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
1,Phoenix,hot_arid,logistic_saga,3,20000,20000,0.22492482570296538,0.009139789311470007,0.27666666666666667,0.0038188130791298974,0.21590590200687662
1,Phoenix,hot_arid,random_forest,3,20000,20000,0.3263113780356615,0.004543596676733287,0.3675,0.008660254037844393,0.3098105923388145
10,Reno,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
10,Reno,hot_arid,logistic_saga,3,20000,20000,0.5037160433909228,0.022091033170756166,0.4908333333333333,0.0057735026918962675,0.5067404324443228
10,Reno,hot_arid,random_forest,3,20000,20000,0.7512779981087864,0.012874244791758653,0.695,0.011456439237389628,0.7461609793649296
7,Salt Lake City,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
7,Salt Lake City,hot_arid,logistic_saga,3,20000,20000,0.18094600842452832,0.00491917228158485,0.1925,0.0050000000000000044,0.1796038943087073
