city_id,city_name,climate_group,model_name,repeat_id,split_seed,tuning_preset,sample_rows_per_city_cap,effective_city_row_count,train_row_count,test_row_count,test_positive_count,test_prevalence,pr_auc,recall_at_top_10pct,best_inner_cv_average_precision,effective_inner_cv_splits
5,El Paso,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.5893202899097612,0.5825,0.6035917258081144,3.0
6,Denver,hot_arid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
6,Denver,hot_arid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
6,Denver,hot_arid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
6,Denver,hot_arid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.26717077798533234,0.315,0.27321303330391666,3.0
6,Denver,hot_arid,logistic_saga,2,43,smoke,20000,20000,16000,4000,400,0.1,0.27474123804680955,0.3125,0.27223154761297774,3.0
6,Denver,hot_arid,logistic_saga,3,44,smoke,20000,20000,16000,4000,400,0.1,0.30044792781941104,0.36,0.2631799665426004,3.0
6,Denver,hot_arid,random_forest,1,42,smoke,20000,20000,16000,4000,400,0.1,0.393349020263679,0.3825,0.38404651146954444,3.0
6,Denver,hot_arid,random_forest,2,43,smoke,20000,20000,16000,4000,400,0.1,0.3978239358428504,0.4025,0.3918705486737837,3.0
6,Denver,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.4294725479483599,0.42,0.38900591151125036,3.0
7,Salt Lake City,hot_arid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
7,Salt Lake City,hot_arid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
7,Salt Lake City,hot_arid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
7,Salt Lake City,hot_arid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.18662211871372747,0.1875,0.17838199756370196,3.0
7,Salt Lake City,hot_arid,logistic_saga,2,43,smoke,20000,20000,16000,4000,400,0.1,0.1782939235048258,0.1925,0.17969850984071056,3.0
7,Salt Lake City,hot_arid,logistic_saga,3,44,smoke,20000,20000,16000,4000,400,0.1,0.17792198305503165,0.1975,0.1807311755217094,3.0
7,Salt Lake City,hot_arid,random_forest,1,42,smoke,20000,20000,16000,4000,400,0.1,0.4387879810466221,0.445,0.38992160783488355,3.0
7,Salt Lake City,hot_arid,random_forest,2,43,smoke,20000,20000,16000,4000,400,0.1,0.38414223536168635,0.415,0.38865939325413845,3.0
7,Salt Lake City,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.3994563811534161,0.4025,0.37967665970789916,3.0
8,Fresno,hot_arid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
8,Fresno,hot_arid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
8,Fresno,hot_arid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
8,Fresno,hot_arid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.22837493672614176,0.2475,0.21636986389141968,3.0
8,Fresno,hot_arid,logistic_saga,2,43,smoke,20000,20000,16000,4000,400,0.1,0.18677262392065003,0.205,0.22608141627211306,3.0
8,Fresno,hot_arid,logistic_saga,3,44,smoke,20000,20000,16000,4000,400,0.1,0.22498310664436114,0.2675,0.2154158344187552,3.0
8,Fresno,hot_arid,random_forest,1,42,smoke,20000,20000,16000,4000,400,0.1,0.47284541169017363,0.47,0.4100509657366021,3.0
8,Fresno,hot_arid,random_forest,2,43,smoke,20000,20000,16000,4000,400,0.1,0.4162032430680236,0.425,0.4306796721462825,3.0
8,Fresno,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.4622070009658529,0.47,0.4138872371747689,3.0
9,Bakersfield,hot_arid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
9,Bakersfield,hot_arid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
9,Bakersfield,hot_arid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
9,Bakersfield,hot_arid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.36667582723522707,0.39,0.34736382973614316,3.0
9,Bakersfield,hot_arid,logistic_saga,2,43,smoke,20000,20000,16000,4000,400,0.1,0.3730131555998129,0.3875,0.3447570965680191,3.0
9,Bakersfield,hot_arid,logistic_saga,3,44,smoke,20000,20000,16000,4000,400,0.1,0.33173603445832084,0.38,0.35736532455543485,3.0
9,Bakersfield,hot_arid,random_forest,1,42,smoke,20000,20000,16000,4000,400,0.1,0.6315160665686599,0.5675,0.5734392169284809,3.0
9,Bakersfield,hot_arid,random_forest,2,43,smoke,20000,20000,16000,4000,400,0.1,0.5792348059875021,0.5425,0.5946247096931017,3.0
9,Bakersfield,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.6162603352459604,0.565,0.5763224741538048,3.0
10,Reno,hot_arid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
10,Reno,hot_arid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
10,Reno,hot_arid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
10,Reno,hot_arid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.5099886154772644,0.4975,0.5054198552745034,3.0
10,Reno,hot_arid,logistic_saga,2,43,smoke,20000,20000,16000,4000,400,0.1,0.47916703038181696,0.4875,0.5131538093514948,3.0
10,Reno,hot_arid,logistic_saga,3,44,smoke,20000,20000,16000,4000,400,0.1,0.5219924843136873,0.4875,0.50164763270697,3.0
10,Reno,hot_arid,random_forest,1,42,smoke,20000,20000,16000,4000,400,0.1,0.7597264640519019,0.6825,0.7428421640428601,3.0
10,Reno,hot_arid,random_forest,2,43,smoke,20000,20000,16000,4000,400,0.1,0.7364606661400448,0.6975,0.7512214162533247,3.0
10,Reno,hot_arid,random_forest,3,44,smoke,20000,20000,16000,4000,400,0.1,0.7576468641344125,0.705,0.7444193577986041,3.0
11,Houston,hot_humid,city_prevalence_baseline,1,42,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.115,,
11,Houston,hot_humid,city_prevalence_baseline,2,43,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.09,,
11,Houston,hot_humid,city_prevalence_baseline,3,44,not_applicable,20000,20000,16000,4000,400,0.1,0.1,0.11,,
11,Houston,hot_humid,logistic_saga,1,42,smoke,20000,20000,16000,4000,400,0.1,0.1265482243410855,0.1375,0.13190954071705424,3.0
