climate_group,model_name,city_count,mean_city_within_city_pr_auc,mean_city_cross_city_pr_auc,mean_city_pr_auc_gap,mean_city_within_city_recall_at_top_10pct,mean_city_cross_city_recall_at_top_10pct,mean_city_recall_gap
hot_arid,city_prevalence_baseline,10,0.10000000000000002,,,0.10500000000000001,,
hot_arid,logistic_saga,10,0.3042088857637728,0.1338609264415107,0.17034795932226213,0.3259166666666667,0.1246,0.20131666666666667
hot_arid,random_forest,10,0.5150349921246561,0.167493906983983,0.34754108514067317,0.5046666666666667,0.2008,0.3038666666666666
hot_humid,city_prevalence_baseline,10,0.10000000000000002,,,0.10400000000000001,,
hot_humid,logistic_saga,10,0.27232275944610873,0.21432176706455067,0.05800099238155809,0.30016666666666664,0.24539999999999998,0.054766666666666665
hot_humid,random_forest,10,0.3242011044998775,0.20203197281839708,0.12216913168148036,0.3470833333333333,0.229,0.11808333333333335
mild_cool,city_prevalence_baseline,10,0.10000000000000002,,,0.10500000000000001,,
mild_cool,logistic_saga,10,0.2693838112641128,0.19285821636941297,0.07652559489469979,0.3075,0.213,0.0945
mild_cool,random_forest,10,0.42462002759182804,0.16473793169336431,0.25988209589846367,0.42358333333333337,0.185,0.23858333333333331
