city_id,city_name,climate_group,model_name,repeat_count,sample_rows_per_city_cap,effective_city_row_count,within_city_pr_auc_mean,within_city_pr_auc_std,within_city_recall_at_top_10pct_mean,within_city_recall_at_top_10pct_std,within_city_best_inner_cv_average_precision_mean,cross_city_pr_auc,cross_city_recall_at_top_10pct,cross_city_reference_source,cross_city_reference_source_path,pr_auc_gap,recall_gap
1,Phoenix,hot_arid,logistic_saga,3,20000,20000,0.22492482570296538,0.009139789311470007,0.27666666666666667,0.0038188130791298974,0.21590590200687662,0.1562348038114553,0.156,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.06869002189151008,0.12066666666666667
1,Phoenix,hot_arid,random_forest,3,20000,20000,0.3263113780356615,0.004543596676733287,0.3675,0.008660254037844393,0.3098105923388145,0.1409691823042949,0.182,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.18534219573136662,0.1855
10,Reno,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
10,Reno,hot_arid,logistic_saga,3,20000,20000,0.5037160433909228,0.022091033170756166,0.4908333333333333,0.0057735026918962675,0.5067404324443228,0.1412063829935387,0.134,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.3625096603973841,0.3568333333333333
10,Reno,hot_arid,random_forest,3,20000,20000,0.7512779981087864,0.012874244791758653,0.695,0.011456439237389628,0.7461609793649296,0.1143245191614722,0.106,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.6369534789473141,0.589
7,Salt Lake City,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
7,Salt Lake City,hot_arid,logistic_saga,3,20000,20000,0.18094600842452832,0.00491917228158485,0.1925,0.0050000000000000044,0.1796038943087073,0.1662992834233643,0.176,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.014646725001164013,0.016500000000000015
7,Salt Lake City,hot_arid,random_forest,3,20000,20000,0.4074621991872415,0.028188813777076747,0.42083333333333334,0.021842237370135256,0.386085886932307,0.1220764403186102,0.12,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.2853857588686313,0.30083333333333334
2,Tucson,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
2,Tucson,hot_arid,logistic_saga,3,20000,20000,0.38896715019350186,0.01860362805523927,0.42583333333333334,0.024022558842332613,0.3765106015349373,0.1121467223844115,0.064,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.27682042780909033,0.36183333333333334
2,Tucson,hot_arid,random_forest,3,20000,20000,0.5090324002063502,0.013000092280514153,0.5141666666666667,0.014648663192705812,0.502994812142637,0.1940954301815877,0.25,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.3149369700247625,0.26416666666666666
18,Atlanta,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
18,Atlanta,hot_humid,logistic_saga,3,20000,20000,0.322272259496087,0.01180063949925716,0.3675,0.013228756555322964,0.3209910408386259,0.2425181909858542,0.304,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.07975406851023281,0.0635
18,Atlanta,hot_humid,random_forest,3,20000,20000,0.3458899704861215,0.005452520324102169,0.4083333333333334,0.02240721609958125,0.34156259520427784,0.1817360129064311,0.238,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.16415395757969042,0.1703333333333334
19,Charlotte,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
19,Charlotte,hot_humid,logistic_saga,3,20000,20000,0.15415407422021202,0.007944157004041198,0.16,0.01984313483298443,0.15036381270130614,0.1491039251426113,0.172,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.005050149077600707,-0.011999999999999983
19,Charlotte,hot_humid,random_forest,3,20000,20000,0.19838510316781166,0.018709991466025862,0.23416666666666666,0.016645820296198485,0.19133681364664068,0.1463534884042359,0.176,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.05203161476357576,0.05816666666666667
12,Columbia,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.09500000000000001,0.017500000000000005,,,,,,,
12,Columbia,hot_humid,logistic_saga,3,20000,20000,0.23600666837911224,0.016822923272641482,0.26666666666666666,0.017017148213885117,0.2547599433826292,0.1310333615873844,0.15,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.10497330679172784,0.11666666666666667
12,Columbia,hot_humid,random_forest,3,20000,20000,0.2941281997479486,0.006163498167731226,0.31,0.017500000000000026,0.2878781674907726,0.1344425973461623,0.136,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.15968560240178634,0.174
11,Houston,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
11,Houston,hot_humid,logistic_saga,3,20000,20000,0.13193694884121418,0.010215863229203669,0.1466666666666667,0.013768926368215249,0.13016224617936134,0.1252516917398908,0.148,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.006685257101323366,-0.0013333333333332975
11,Houston,hot_humid,random_forest,3,20000,20000,0.2200701370374415,0.013038703957432554,0.26,0.018027756377319962,0.2145107690210947,0.1224488748625343,0.126,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.0976212621749072,0.134
17,Jacksonville,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
17,Jacksonville,hot_humid,logistic_saga,3,20000,20000,0.2954231102518788,0.012310447065864429,0.315,0.02645751311064593,0.2972183107615291,0.2400377324111945,0.296,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.055385377840684286,0.019000000000000017
17,Jacksonville,hot_humid,random_forest,3,20000,20000,0.3113224660374548,0.0038046006522512187,0.31583333333333335,0.012332207155790606,0.32061784630870654,0.2050168508154777,0.258,cross_city_benchmark_report_city_error_comparison,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\reporting\tables\cross_city_benchmark_report_city_error_comparison.csv,0.10630561522197707,0.05783333333333335
16,Miami,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,,,,,,,
