model_name,outer_fold,inner_cv_splits,best_inner_cv_average_precision,best_params_json
logistic_saga,0,3,0.148141017786812,"{""model__C"": 1.0, ""model__penalty"": ""l2""}"
logistic_saga,1,3,0.1518501475445471,"{""model__C"": 1.0, ""model__penalty"": ""l2""}"
