index,lst_median_may_aug,impervious_pct,ndvi_median_may_aug,dist_to_water_m,elevation_m,n_valid_ecostress_passes
lst_median_may_aug,1.0,0.06885200703439041,-0.41809571826991626,0.11346702306204029,-0.14009253561603222,-0.07188802324816963
impervious_pct,0.06885200703439041,1.0,-0.2988021796705657,0.07664056711143584,0.04712140639279045,0.44887844204045557
ndvi_median_may_aug,-0.41809571826991626,-0.2988021796705657,1.0,-0.030704058648577993,0.21098654630411226,-0.4779126605509073
dist_to_water_m,0.11346702306204029,0.07664056711143584,-0.030704058648577993,1.0,-0.13987745386667894,0.12637439419883872
elevation_m,-0.14009253561603222,0.04712140639279045,0.21098654630411226,-0.13987745386667894,1.0,-0.036942872329972475
n_valid_ecostress_passes,-0.07188802324816963,0.44887844204045557,-0.4779126605509073,0.12637439419883872,-0.036942872329972475,1.0
