metric,value
Primary Fresno analysis file,data_processed\city_features\08_fresno_ca_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,459104
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Fresno study area
Geometry / CRS,Cell polygons stored in EPSG:32611; centroids stored as WGS84 lon/lat
Projected spatial extent,"[238500, 4058430, 266010, 4088880]"
Study-area buffer,"2,000 m around the Census urban area"
