model_name,outer_fold_count,heldout_city_count,heldout_row_count,heldout_positive_count,heldout_prevalence,pooled_pr_auc,mean_fold_pr_auc,mean_city_pr_auc,pooled_recall_at_top_10pct,mean_fold_recall_at_top_10pct
climate_only_baseline,5,30,150000,14949,0.09966,0.09815724752272645,0.09914638143611296,0.09966000000000001,0.0975316074653823,0.10362129543333076
global_mean_baseline,5,30,150000,14949,0.09966,0.09821042689589048,0.09966,0.09966000000000001,0.09713024282560706,0.10087712838081024
impervious_only_baseline,5,30,150000,14949,0.09966,0.1350528997045306,0.13740234974708193,0.1519113446723004,0.18576493410930497,0.17795291537889935
land_cover_only_baseline,5,30,150000,14949,0.09966,0.13532079576239797,0.13635933877704626,0.1478571687181227,0.1672352665730149,0.17424933123203282
