model_name,outer_fold,city_id,city_name,climate_group,row_count,positive_count,prevalence,pr_auc,recall_at_top_10pct
impervious_only_baseline,0,24,San Jose,mild_cool,5000,468,0.0936,0.13328685713276092,0.1047008547008547
impervious_only_baseline,1,6,Denver,hot_arid,5000,519,0.1038,0.17431656672897133,0.23314065510597304
impervious_only_baseline,1,7,Salt Lake City,hot_arid,5000,462,0.0924,0.12561604837638496,0.20346320346320346
impervious_only_baseline,1,8,Fresno,hot_arid,5000,471,0.0942,0.10940273128204461,0.12738853503184713
impervious_only_baseline,1,22,Portland,mild_cool,5000,500,0.1,0.23284788877313367,0.262
impervious_only_baseline,1,27,Chicago,mild_cool,5000,480,0.096,0.2088090835797044,0.29791666666666666
impervious_only_baseline,1,28,Minneapolis,mild_cool,5000,474,0.0948,0.10109180233988889,0.16877637130801687
impervious_only_baseline,2,1,Phoenix,hot_arid,5000,508,0.1016,0.1123898254096322,0.12598425196850394
impervious_only_baseline,2,10,Reno,hot_arid,5000,498,0.0996,0.25685083299952605,0.3815261044176707
impervious_only_baseline,2,11,Houston,hot_humid,5000,505,0.101,0.11935283156024631,0.14455445544554454
impervious_only_baseline,2,12,Columbia,hot_humid,5000,517,0.1034,0.11532804810098528,0.1276595744680851
impervious_only_baseline,2,17,Jacksonville,hot_humid,5000,531,0.1062,0.17599554376170884,0.23728813559322035
impervious_only_baseline,2,21,Seattle,mild_cool,5000,509,0.1018,0.19734735517210233,0.27111984282907664
impervious_only_baseline,3,3,Las Vegas,hot_arid,5000,507,0.1014,0.08864822261219821,0.047337278106508875
impervious_only_baseline,3,14,New Orleans,hot_humid,5000,525,0.105,0.15430568524859123,0.22666666666666666
impervious_only_baseline,3,16,Miami,hot_humid,5000,497,0.0994,0.13227229377013125,0.158953722334004
impervious_only_baseline,3,19,Charlotte,hot_humid,5000,474,0.0948,0.11436917439300187,0.1540084388185654
impervious_only_baseline,3,23,San Francisco,mild_cool,5000,515,0.103,0.1221931167082248,0.011650485436893204
impervious_only_baseline,3,30,Boston,mild_cool,5000,523,0.1046,0.1924004822954684,0.25430210325047803
impervious_only_baseline,4,4,Albuquerque,hot_arid,5000,482,0.0964,0.1038392343122806,0.08921161825726141
impervious_only_baseline,4,5,El Paso,hot_arid,5000,535,0.107,0.08571669035846828,0.05794392523364486
impervious_only_baseline,4,20,Nashville,hot_humid,5000,499,0.0998,0.3554226135202301,0.4468937875751503
impervious_only_baseline,4,25,Los Angeles,mild_cool,5000,503,0.1006,0.11470112101998722,0.1988071570576541
impervious_only_baseline,4,26,San Diego,mild_cool,5000,478,0.0956,0.11007791050699828,0.13598326359832635
impervious_only_baseline,4,29,Detroit,mild_cool,5000,512,0.1024,0.16447990531129722,0.201171875
land_cover_only_baseline,0,2,Tucson,hot_arid,5000,521,0.1042,0.13412642810521289,0.028790786948176585
land_cover_only_baseline,0,9,Bakersfield,hot_arid,5000,478,0.0956,0.08668562078263739,0.14225941422594143
land_cover_only_baseline,0,13,Richmond,hot_humid,5000,479,0.0958,0.17407084407179987,0.24217118997912318
land_cover_only_baseline,0,15,Tampa,hot_humid,5000,470,0.094,0.1743518194383954,0.2957446808510638
land_cover_only_baseline,0,18,Atlanta,hot_humid,5000,509,0.1018,0.19478484786838698,0.3477406679764244
land_cover_only_baseline,0,24,San Jose,mild_cool,5000,468,0.0936,0.13022057455083985,0.14957264957264957
land_cover_only_baseline,1,6,Denver,hot_arid,5000,519,0.1038,0.14195726316003532,0.1464354527938343
land_cover_only_baseline,1,7,Salt Lake City,hot_arid,5000,462,0.0924,0.12137283440265198,0.1774891774891775
land_cover_only_baseline,1,8,Fresno,hot_arid,5000,471,0.0942,0.11566246499025397,0.16348195329087048
land_cover_only_baseline,1,22,Portland,mild_cool,5000,500,0.1,0.2145276751564461,0.304
land_cover_only_baseline,1,27,Chicago,mild_cool,5000,480,0.096,0.16966621031939705,0.25833333333333336
land_cover_only_baseline,1,28,Minneapolis,mild_cool,5000,474,0.0948,0.11141275697845056,0.21308016877637131
land_cover_only_baseline,2,1,Phoenix,hot_arid,5000,508,0.1016,0.12219359813507975,0.1220472440944882
land_cover_only_baseline,2,10,Reno,hot_arid,5000,498,0.0996,0.2197788465356909,0.3373493975903614
land_cover_only_baseline,2,11,Houston,hot_humid,5000,505,0.101,0.11395610099233135,0.12871287128712872
land_cover_only_baseline,2,12,Columbia,hot_humid,5000,517,0.1034,0.11604784067103956,0.13152804642166344
land_cover_only_baseline,2,17,Jacksonville,hot_humid,5000,531,0.1062,0.16751270021742173,0.1958568738229755
land_cover_only_baseline,2,21,Seattle,mild_cool,5000,509,0.1018,0.18051896321563352,0.2357563850687623
land_cover_only_baseline,3,3,Las Vegas,hot_arid,5000,507,0.1014,0.11075016580168469,0.04930966469428008
land_cover_only_baseline,3,14,New Orleans,hot_humid,5000,525,0.105,0.15062383349694144,0.19238095238095237
land_cover_only_baseline,3,16,Miami,hot_humid,5000,497,0.0994,0.11701097270680069,0.10261569416498995
land_cover_only_baseline,3,19,Charlotte,hot_humid,5000,474,0.0948,0.12330736972629608,0.15822784810126583
land_cover_only_baseline,3,23,San Francisco,mild_cool,5000,515,0.103,0.11721871007539199,0.013592233009708738
land_cover_only_baseline,3,30,Boston,mild_cool,5000,523,0.1046,0.20691203304639516,0.20076481835564053
land_cover_only_baseline,4,4,Albuquerque,hot_arid,5000,482,0.0964,0.1403613601261364,0.15560165975103735
land_cover_only_baseline,4,5,El Paso,hot_arid,5000,535,0.107,0.11872909187592713,0.1308411214953271
land_cover_only_baseline,4,20,Nashville,hot_humid,5000,499,0.0998,0.3088709054672686,0.3627254509018036
land_cover_only_baseline,4,25,Los Angeles,mild_cool,5000,503,0.1006,0.10718061216031924,0.14910536779324055
land_cover_only_baseline,4,26,San Diego,mild_cool,5000,478,0.0956,0.09497142527263863,0.09623430962343096
land_cover_only_baseline,4,29,Detroit,mild_cool,5000,512,0.1024,0.15093119219617745,0.21484375
