index,lst_median_may_aug,impervious_pct,ndvi_median_may_aug,dist_to_water_m,elevation_m,n_valid_ecostress_passes
lst_median_may_aug,1.0,-0.17267705957307145,-0.057130048391481975,-0.004632614687244762,-0.08735475466604925,-0.037221587650367496
impervious_pct,-0.17267705957307145,1.0,-0.2221162138488009,-0.029425027151973586,-0.06302524429709298,0.241041845710265
ndvi_median_may_aug,-0.057130048391481975,-0.2221162138488009,1.0,-0.26924328139277864,-0.17830187046622192,-0.13868589924176727
dist_to_water_m,-0.004632614687244762,-0.029425027151973586,-0.26924328139277864,1.0,0.20950754368855928,-0.15371652615173742
elevation_m,-0.08735475466604925,-0.06302524429709298,-0.17830187046622192,0.20950754368855928,1.0,0.30274983997330973
n_valid_ecostress_passes,-0.037221587650367496,0.241041845710265,-0.13868589924176727,-0.15371652615173742,0.30274983997330973,1.0
