metric,value
Primary El Paso analysis file,data_processed\city_features\05_el_paso_tx_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,738527
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered El Paso study area
Geometry / CRS,Cell polygons stored in EPSG:32613; centroids stored as WGS84 lon/lat
Projected spatial extent,"[342300, 3491070, 391980, 3547920]"
Study-area buffer,"2,000 m around the Census urban area"
