metric,value
Primary Las Vegas analysis file,data_processed\city_features\03_las_vegas_nv_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,1718669
Variables,14
Unit of analysis,One filtered 30 m grid cell in the buffered Las Vegas study area
Geometry / CRS,Cell polygons stored in EPSG:32611; centroids stored as WGS84 lon/lat
Projected spatial extent,"[643980, 3974940, 690780, 4024620]"
Study-area buffer,"2,000 m around the Census urban area"
