stage,n_rows,share_of_unfiltered_pct
unfiltered_input_rows,1724686,100.0
dropped_open_water_rows,2262,0.1311543086683605
dropped_lt3_ecostress_pass_rows,277,0.016060894562836367
final_filtered_rows,1718669,99.65112490041666
