metric,value
Primary Tampa analysis file,data_processed\city_features\15_tampa_fl_features.parquet
Dataset choice rationale,Canonical per-city filtered output intended for downstream modeling.
Observations,2847118
Variables,16
Unit of analysis,One filtered 30 m grid cell in the buffered Tampa study area
Geometry / CRS,Cell polygons stored in EPSG:32617; centroids stored as WGS84 lon/lat
Projected spatial extent,"[317730, 3059400, 396180, 3144660]"
Study-area buffer,"2,000 m around the Census urban area"
