outer_fold,retained_pr_auc,refit_pr_auc,pr_auc_refit_minus_retained,train_row_count,test_row_count
0,0.1772879863117915,0.17728798631179152,2.7755575615628914e-17,120000,30000
1,0.1597542462186731,0.15975424621867318,8.326672684688674e-17,120000,30000
2,0.1300967725221705,0.1300967725221705,0.0,120000,30000
3,0.1606266005755551,0.16062660057555517,5.551115123125783e-17,120000,30000
4,0.1493299140366461,0.14932991403664614,2.7755575615628914e-17,120000,30000
