feature_name,fold_count,mean_pr_auc_drop,std_pr_auc_drop_across_folds,median_rank,rank_std_across_folds,stability_positive_drop_fraction
ndvi_median_may_aug,5,0.037525498873596935,0.01600658939492668,1.0,0.4898979485566356,1.0
impervious_pct,5,0.030026086897604172,0.012340566757135055,2.0,0.7483314773547882,1.0
climate_group,5,0.02416463105504279,0.017262423852639448,3.0,1.019803902718557,1.0
land_cover_class,5,0.006153555326852638,0.00435733147628322,5.0,0.7999999999999999,0.8
elevation_m,5,0.004835979635546636,0.016129069178669065,5.0,0.8944271909999159,0.6
dist_to_water_m,5,-0.0020679329721024313,0.004414883520101136,6.0,0.8,0.6
