outer_fold,feature_name,base_feature_name,category_level,coefficient,abs_coefficient,absolute_rank
0,land_cover_class_31,land_cover_class,31,1.2072019130671432,1.2072019130671432,1
0,climate_group_hot_arid,climate_group,hot_arid,-0.7477796396216568,0.7477796396216568,2
0,land_cover_class_82,land_cover_class,82,0.6078112227641468,0.6078112227641468,3
0,land_cover_class_52,land_cover_class,52,0.5375236218541549,0.5375236218541549,4
0,land_cover_class_90,land_cover_class,90,-0.5153979775134956,0.5153979775134956,5
0,land_cover_class_43,land_cover_class,43,-0.3710295309134952,0.3710295309134952,6
0,ndvi_median_may_aug,ndvi_median_may_aug,,-0.36815405657256284,0.36815405657256284,7
0,land_cover_class_41,land_cover_class,41,-0.3542555656034398,0.3542555656034398,8
0,impervious_pct,impervious_pct,,0.28886423222375696,0.28886423222375696,9
0,land_cover_class_42,land_cover_class,42,-0.2359553129623874,0.2359553129623874,10
0,climate_group_mild_cool,climate_group,mild_cool,-0.20845724483120578,0.20845724483120578,11
0,land_cover_class_71,land_cover_class,71,0.16391112120124363,0.16391112120124363,12
0,land_cover_class_22,land_cover_class,22,-0.1572418951385382,0.1572418951385382,13
0,land_cover_class_23,land_cover_class,23,-0.15330040481538154,0.15330040481538154,14
0,land_cover_class_21,land_cover_class,21,-0.08637760809854104,0.08637760809854104,15
0,elevation_m,elevation_m,,0.03589479939543113,0.03589479939543113,16
0,land_cover_class_81,land_cover_class,81,-0.029304988409670146,0.029304988409670146,17
0,dist_to_water_m,dist_to_water_m,,0.0019945624402752174,0.0019945624402752174,18
0,climate_group_hot_humid,climate_group,hot_humid,0.0,0.0,19
0,land_cover_class_24,land_cover_class,24,0.0,0.0,19
0,land_cover_class_95,land_cover_class,95,0.0,0.0,19
1,land_cover_class_31,land_cover_class,31,1.0783160768322064,1.0783160768322064,1
1,land_cover_class_82,land_cover_class,82,0.7761688226573066,0.7761688226573066,2
1,land_cover_class_90,land_cover_class,90,-0.7181004222877405,0.7181004222877405,3
1,land_cover_class_71,land_cover_class,71,0.6279191726528286,0.6279191726528286,4
1,land_cover_class_52,land_cover_class,52,0.5850170406676973,0.5850170406676973,5
1,climate_group_hot_arid,climate_group,hot_arid,-0.5406130252677294,0.5406130252677294,6
1,land_cover_class_41,land_cover_class,41,-0.516063688672568,0.516063688672568,7
1,land_cover_class_42,land_cover_class,42,-0.4805622852228423,0.4805622852228423,8
1,land_cover_class_43,land_cover_class,43,-0.4572642421441025,0.4572642421441025,9
1,ndvi_median_may_aug,ndvi_median_may_aug,,-0.44266270638116123,0.44266270638116123,10
1,land_cover_class_81,land_cover_class,81,-0.3995335906612719,0.3995335906612719,11
1,climate_group_hot_humid,climate_group,hot_humid,0.36427109484710035,0.36427109484710035,12
1,land_cover_class_22,land_cover_class,22,-0.21463635522293656,0.21463635522293656,13
1,impervious_pct,impervious_pct,,0.20862137444704865,0.20862137444704865,14
1,land_cover_class_23,land_cover_class,23,-0.17723869705510334,0.17723869705510334,15
1,land_cover_class_21,land_cover_class,21,-0.17274414806956098,0.17274414806956098,16
1,land_cover_class_95,land_cover_class,95,-0.1538968697217004,0.1538968697217004,17
1,elevation_m,elevation_m,,-0.05513020831999469,0.05513020831999469,18
1,climate_group_mild_cool,climate_group,mild_cool,-0.05080728014003094,0.05080728014003094,19
1,dist_to_water_m,dist_to_water_m,,0.036474179840662875,0.036474179840662875,20
1,land_cover_class_24,land_cover_class,24,-0.004530024313190651,0.004530024313190651,21
2,climate_group_hot_arid,climate_group,hot_arid,-2.299558062287688,2.299558062287688,1
2,climate_group_mild_cool,climate_group,mild_cool,-1.7144046745480768,1.7144046745480768,2
2,land_cover_class_42,land_cover_class,42,-1.3360077584921712,1.3360077584921712,3
2,climate_group_hot_humid,climate_group,hot_humid,-1.3155642473983489,1.3155642473983489,4
2,land_cover_class_31,land_cover_class,31,1.1539606960006232,1.1539606960006232,5
